Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
5 Rifles,1974,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5 Rifles,2001,131.0,Action,6.0,25.0,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
5 Rupees,2018,131.0,Drama,6.0,25.0,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Pran
50 Lakh,2007,131.0,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
500 Ka Note,2002,131.0,Thriller,6.0,25.0,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
5ters: Castle of Dark Master,2011,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan
6.40 PM,1967,131.0,Drama,5.4,5.0,Mani Kaul,Ashok Kumar,Rekha,Pran
6387 Meters Black Peak,2020,85.0,Documentary,6.0,25.0,Kovid Mittal,Kovid Mittal,Rekha,Pran
64 Kaam Kalayen,2002,131.0,Thriller,6.0,25.0,Hemant Birje,Ankush Mohite,Kirti Rawal,Pran
6-5=2,2014,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,2007,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
69 Opposites Attract,2011,96.0,Comedy,6.0,25.0,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Pran
69 Reality in Us,1991,131.0,"Drama, Romance, Thriller",6.0,25.0,Samir Khan,Ashok Kumar,Rekha,Pran
7 1/2 Phere: More Than a Wedding,2005,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,1995,131.0,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,2016,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,2011,137.0,"Drama, Mystery, Thriller",6.1,5.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
777 Charlie,1991,136.0,"Adventure, Comedy, Drama",6.0,25.0,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
7th Villa,2018,125.0,Horror,6.0,25.0,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
8 PM: A Murder Mystery,2008,131.0,Mystery,6.0,25.0,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
8 x 10 Tasveer,2009,122.0,"Action, Fantasy, Mystery",5.4,5.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,2021,150.0,"Biography, Drama, History",6.0,25.0,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
88 Antop Hill,2003,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
9 Roads 2 Peace,1991,131.0,Adventure,6.0,25.0,Virendra Rathore,Ashok Kumar,Rekha,Pran
9 to 12,2011,115.0,"Drama, Musical, Thriller",6.0,25.0,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
99,2009,135.0,"Comedy, Crime, Drama",7.3,2.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,2019,128.0,"Musical, Romance",7.4,1.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Ballad of Maladies,2016,86.0,"Documentary, Music",6.0,25.0,Sarvnik Kaur,Tushar Madhav,Rekha,Pran
A Ballad of Maladies,2016,86.0,"Documentary, History, Music",6.0,25.0,Sarvnik Kaur,Tushar Madhav,Rekha,Pran
A Billion Colour Story,2016,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Biopic from the Film Industry,2019,131.0,Drama,6.0,25.0,Sarkar Sahith,Suman Rana,Hari Vishnu,Pran
A Call from the Past,2016,76.0,"Drama, Fantasy, Mystery",6.0,25.0,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
A Cold Plan,2021,131.0,Thriller,6.0,25.0,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
A Daughter's Dream,2014,131.0,"Drama, Family, Sport",6.0,25.0,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
A Daughter's Tale PANKH,2017,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016,110.0,"Drama, Thriller",7.5,4.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Dream Document,2016,70.0,Documentary,6.0,25.0,Rupak Das,Ashok Kumar,Rekha,Pran
A Far Afternoon: a Painted Saga by Krishen Khanna,2015,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,Ashok Kumar,Rekha,Pran
A Film by Aravind,2005,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,2016,151.0,"Action, Adventure, Comedy",3.0,4.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,2017,145.0,"Action, Comedy",6.2,5.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Handful of Grain,1959,92.0,Drama,6.0,25.0,Mehboob Khan,Ashok Kumar,Rekha,Pran
A Journey of Samyak Buddha,2013,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Pran
A Mistake (Ek Galti),2021,131.0,Thriller,6.0,25.0,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A New Love Ishtory,2013,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Night in Calcutta,1970,131.0,Drama,6.0,25.0,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
A Rape Song,2019,75.0,"Crime, Drama",6.0,25.0,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Pran
A Rifle and a Bag,2020,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Pran
A Scandall,2016,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Separate Sky,2021,131.0,Drama,6.0,25.0,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Sketch Killer: Who's Next,1997,131.0,Thriller,6.0,25.0,Vinod Alva,Kalyan Kumar,Raghuvaran,Pran
A Small Family,1976,131.0,Documentary,6.0,25.0,Fali Bilimoria,Ashok Kumar,Rekha,Pran
A Song for No One,1991,131.0,"Comedy, Drama, Music",6.0,25.0,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Pran
A Story of a Call Girl,2000,131.0,Thriller,6.0,25.0,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
A Strange Love Story,2011,131.0,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,Pran
A Thin Line,2019,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Thursday,2021,131.0,"Drama, Thriller",6.0,25.0,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
A Treasure in the Snow,2002,131.0,Documentary,6.9,8.0,Goutam Ghose,Ashok Kumar,Rekha,Pran
A Twist of Date,2017,110.0,"Comedy, Horror, Mystery",6.0,25.0,Kashmera Shah,Kashmera Shah,Rekha,Pran
A Wednesday,2008,104.0,"Action, Crime, Drama",8.1,75.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
A.R Rahman Encore Tour,2017,131.0,Musical,6.0,25.0,Deepak Gattani,A.R. Rahman,Rekha,Pran
Aa Ab Laut Chalen,1999,177.0,"Musical, Romance, Drama",5.5,1.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Bhi Ja O Piya,2021,140.0,"Family, Romance",6.0,25.0,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aa Dekhen Zara,2009,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999,131.0,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,2004,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1956,131.0,Romance,6.0,25.0,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
Aabroo,1968,170.0,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,1943,131.0,Drama,5.2,5.0,Nazir,Ashok Kumar,Rekha,Pran
Aabshar,1953,131.0,"Drama, Romance",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,1943,131.0,Drama,5.2,5.0,V.C. Desai,Nalini Jaywant,Mukesh,Pran
Aadab Hyderabad,2007,104.0,Drama,6.0,25.0,Sanjay Punjabi,Ashok Kumar,Rekha,Pran
Aadamkhor,1986,131.0,Action,5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,2018,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadamkhor Hasina,2002,131.0,Action,6.0,25.0,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
Aadarniy Pitaji,2020,131.0,Family,6.0,25.0,Prashant Kumar,Ashok Kumar,Rekha,Pran
Aadarsh,1983,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Aadat,1989,131.0,Drama,6.0,25.0,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
Aadat Se Majboor,1982,105.0,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadhaar,2004,131.0,Drama,6.0,25.0,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
Aadharshila,1982,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhe Adhure,1996,131.0,Drama,6.0,25.0,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
Aadhi Bhagavan,2013,157.0,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
"Aadhi Haqeeqat, Aadha Fasana",1990,88.0,Documentary,6.0,25.0,Dilip Ghosh,Ashok Kumar,Rekha,Pran
